# Name = @default@10000

# Functions = 000000000 = none are picked 
# FitP = Average Fitness of Viable Population 
# CstP = Average Offspring Cost of Viable Population 
# EarP = Average Energy Acquisition Rate of Viable Population 
# NumP = Total Polution Size 
# ViaP = Viable Population Size 
# FitF = Average Fitness of avidians performing picked functions 
# CstF = Average Offspring Cost avidians performing picked functions 
# EarF = Average Energy Acquisition Rate avidians performing functions 
# NumF = Number of avidians performing picked functions 
# columns for statistics for each ancestor (up to 16) will follow. Each column will use 3 letters for the 
# data type followed by _##; where the number with a leading zero is for each ancestor 
# ancestor 00 is @ancestor
Update,FitP,CstP,EarP,NumP,ViaP,FitF,CstF,EarF,NumF,Fit_00,Cst_00,Ear_00,Num_00,Via_00,
0,0.248677248677249,189,47,1,1,null,null,null,null,0.248677248677249,189,47,1,1,
1,0.248677248677249,189,47,1,1,null,null,null,null,0.248677248677249,189,47,1,1,
2,0.248677248677249,189,47,1,1,null,null,null,null,0.248677248677249,189,47,1,1,
3,0.248677248677249,189,47,1,1,null,null,null,null,0.248677248677249,189,47,1,1,
4,0.248677248677249,189,47,1,1,null,null,null,null,0.248677248677249,189,47,1,1,
5,0.248677248677249,189,47,1,1,null,null,null,null,0.248677248677249,189,47,1,1,
6,0.249338624338624,188.5,47,2,2,null,null,null,null,0.249338624338624,188.5,47,2,2,
7,0.249338624338624,188.5,47,2,2,null,null,null,null,0.249338624338624,188.5,47,2,2,
8,0.249338624338624,188.5,47,2,2,null,null,null,null,0.249338624338624,188.5,47,2,2,
9,0.249338624338624,188.5,47,2,2,null,null,null,null,0.249338624338624,188.5,47,2,2,
10,0.249338624338624,188.5,47,2,2,null,null,null,null,0.249338624338624,188.5,47,2,2,
11,0.249338624338624,188.5,47,2,2,null,null,null,null,0.249338624338624,188.5,47,2,2,
12,0.249338624338624,188.5,47,3,2,null,null,null,null,0.249338624338624,188.5,47,3,2,
13,0.250455140240086,187.666666666667,47,4,3,null,null,null,null,0.250455140240086,187.666666666667,47,4,3,
14,0.250455140240086,187.666666666667,47,4,3,null,null,null,null,0.250455140240086,187.666666666667,47,4,3,
15,0.250455140240086,187.666666666667,47,4,3,null,null,null,null,0.250455140240086,187.666666666667,47,4,3,
16,0.250455140240086,187.666666666667,47,4,3,null,null,null,null,0.250455140240086,187.666666666667,47,4,3,
17,0.250455140240086,187.666666666667,47,4,3,null,null,null,null,0.250455140240086,187.666666666667,47,4,3,
18,0.250455140240086,187.666666666667,47,4,3,null,null,null,null,0.250455140240086,187.666666666667,47,4,3,
19,0.250455140240086,187.666666666667,47,5,3,null,null,null,null,0.250455140240086,187.666666666667,47,5,3,
20,0.250546168288104,187.6,47,7,5,null,null,null,null,0.250546168288104,187.6,47,7,5,
21,0.250546168288104,187.6,47,7,5,null,null,null,null,0.250546168288104,187.6,47,7,5,
22,0.250546168288104,187.6,47,7,5,null,null,null,null,0.250546168288104,187.6,47,7,5,
23,0.250546168288104,187.6,47,7,5,null,null,null,null,0.250546168288104,187.6,47,7,5,
24,0.250546168288104,187.6,47,7,5,null,null,null,null,0.250546168288104,187.6,47,7,5,
25,0.250455140240086,187.666666666667,47,8,6,null,null,null,null,0.250455140240086,187.666666666667,47,8,6,
26,0.250774144783361,187.428571428571,47,9,7,null,null,null,null,0.250774144783361,187.428571428571,47,9,7,
27,0.250815031621483,187.4,47,12,10,null,null,null,null,0.250815031621483,187.4,47,12,10,
28,0.250815031621483,187.4,47,12,10,null,null,null,null,0.250815031621483,187.4,47,12,10,
29,0.250815031621483,187.4,47,12,10,null,null,null,null,0.250815031621483,187.4,47,12,10,
30,0.250815031621483,187.4,47,12,10,null,null,null,null,0.250815031621483,187.4,47,12,10,
31,0.250815031621483,187.4,47,12,10,null,null,null,null,0.250815031621483,187.4,47,12,10,
32,0.25090320735482,187.333333333333,47,15,12,null,null,null,null,0.25090320735482,187.333333333333,47,15,12,
33,0.250173115334406,187.066666666667,46.8,19,15,null,null,null,null,0.250173115334406,187.066666666667,46.8,19,15,
34,0.25029360566995,187.111111111111,46.8333333333333,22,18,null,null,null,null,0.25029360566995,187.111111111111,46.8333333333333,22,18,
35,0.25029360566995,187.111111111111,46.8333333333333,22,18,null,null,null,null,0.25029360566995,187.111111111111,46.8333333333333,22,18,
36,0.25029360566995,187.111111111111,46.8333333333333,22,18,null,null,null,null,0.25029360566995,187.111111111111,46.8333333333333,22,18,
37,0.25029360566995,187.111111111111,46.8333333333333,22,18,null,null,null,null,0.25029360566995,187.111111111111,46.8333333333333,22,18,
38,0.250564193929884,186.947368421053,46.8421052631579,23,19,null,null,null,null,0.250564193929884,186.947368421053,46.8421052631579,23,19,
39,0.250558061727468,187.083333333333,46.875,29,24,null,null,null,null,0.250558061727468,187.083333333333,46.875,29,24,
40,0.24768221941568,190.52,46.92,33,25,null,null,null,null,0.24768221941568,190.52,46.92,33,25,
41,0.248152609733771,190.111111111111,46.9259259259259,36,27,null,null,null,null,0.248152609733771,190.111111111111,46.9259259259259,36,27,
42,0.248152609733771,190.111111111111,46.9259259259259,36,27,null,null,null,null,0.248152609733771,190.111111111111,46.9259259259259,36,27,
43,0.248152609733771,190.111111111111,46.9259259259259,36,27,null,null,null,null,0.248152609733771,190.111111111111,46.9259259259259,36,27,
44,0.245390677433925,193.357142857143,46.9642857142857,37,28,null,null,null,null,0.245390677433925,193.357142857143,46.9642857142857,37,28,
45,0.245048025669958,193.178571428571,46.8571428571429,40,28,null,null,null,null,0.245048025669958,193.178571428571,46.8571428571429,40,28,
46,0.245966797577164,192.3125,46.875,47,32,null,null,null,null,0.245966797577164,192.3125,46.875,47,32,
47,0.246620965789154,191.714285714286,46.8857142857143,50,35,null,null,null,null,0.246620965789154,191.714285714286,46.8857142857143,50,35,
48,0.247062498898861,191.324324324324,46.8918918918919,52,37,null,null,null,null,0.247062498898861,191.324324324324,46.8918918918919,52,37,
49,0.247062498898861,191.324324324324,46.8918918918919,52,37,null,null,null,null,0.247062498898861,191.324324324324,46.8918918918919,52,37,
50,0.244842239870409,193.837837837838,46.9189189189189,52,37,null,null,null,null,0.244842239870409,193.837837837838,46.9189189189189,52,37,
51,0.24691561288241,191.432432432432,46.8918918918919,53,37,null,null,null,null,0.24691561288241,191.432432432432,46.8918918918919,53,37,
52,0.24612973383049,192.25641025641,46.9230769230769,57,39,null,null,null,null,0.24612973383049,192.25641025641,46.9230769230769,57,39,
53,0.247276203653245,190.979166666667,46.8958333333333,69,48,null,null,null,null,0.247276203653245,190.979166666667,46.8958333333333,69,48,
54,0.247658710674165,190.9,46.96,72,50,null,null,null,null,0.247658710674165,190.9,46.96,72,50,
55,0.247892157711231,190.705882352941,46.9607843137255,73,51,null,null,null,null,0.247892157711231,190.705882352941,46.9607843137255,73,51,
56,0.247892157711231,190.705882352941,46.9607843137255,73,51,null,null,null,null,0.247892157711231,190.705882352941,46.9607843137255,73,51,
57,0.247892157711231,190.705882352941,46.9607843137255,74,51,null,null,null,null,0.247892157711231,190.705882352941,46.9607843137255,74,51,
58,0.246263356842349,192.892857142857,46.9464285714286,77,56,null,null,null,null,0.246263356842349,192.892857142857,46.9464285714286,77,56,
59,0.244930345151596,193.483870967742,46.7741935483871,86,62,null,null,null,null,0.244930345151596,193.483870967742,46.7741935483871,86,62,
60,0.244527480362407,194.264705882353,46.8529411764706,96,68,null,null,null,null,0.244527480362407,194.264705882353,46.8529411764706,96,68,
61,0.244745613351901,194.072463768116,46.8550724637681,98,69,null,null,null,null,0.244745613351901,194.072463768116,46.8550724637681,98,69,
62,0.244547140632933,194.25,46.8529411764706,98,68,null,null,null,null,0.244547140632933,194.25,46.8529411764706,98,68,
63,0.24326150456082,195.705882352941,46.8676470588235,98,68,null,null,null,null,0.24326150456082,195.705882352941,46.8676470588235,98,68,
64,0.242865092768766,195.420289855072,46.7391304347826,98,69,null,null,null,null,0.242865092768766,195.420289855072,46.7391304347826,98,69,
65,0.245705299259364,192.236111111111,46.7222222222222,106,72,null,null,null,null,0.245705299259364,192.236111111111,46.7222222222222,106,72,
66,0.2461853798373,191.047058823529,46.6,117,85,null,null,null,null,0.2461853798373,191.047058823529,46.6,117,85,
67,0.246387845752983,190.797752808989,46.5955056179775,122,89,null,null,null,null,0.246387845752983,190.797752808989,46.5955056179775,122,89,
68,0.246013271146462,191.408602150538,46.6236559139785,124,93,null,null,null,null,0.246013271146462,191.408602150538,46.6236559139785,124,93,
69,0.246013271146462,191.408602150538,46.6236559139785,125,93,null,null,null,null,0.246013271146462,191.408602150538,46.6236559139785,125,93,
70,0.244850885690372,193.021276595745,46.6489361702128,126,94,null,null,null,null,0.244850885690372,193.021276595745,46.6489361702128,126,94,
71,0.24513828499357,192.744897959184,46.6632653061224,131,98,null,null,null,null,0.24513828499357,192.744897959184,46.6632653061224,131,98,
72,0.246457623505976,191,46.605504587156,144,109,null,null,null,null,0.246457623505976,191,46.605504587156,144,109,
73,0.246894836722454,190.56880733945,46.5963302752294,150,109,null,null,null,null,0.246894836722454,190.56880733945,46.5963302752294,150,109,
74,0.248008618932545,188.826086956522,46.5304347826087,155,115,null,null,null,null,0.248008618932545,188.826086956522,46.5304347826087,155,115,
75,0.248121558440965,188.75,46.5344827586207,156,116,null,null,null,null,0.248121558440965,188.75,46.5344827586207,156,116,
76,0.247998556091056,188.8,46.5217391304348,156,115,null,null,null,null,0.247998556091056,188.8,46.5217391304348,156,115,
77,0.248274142160859,188.625,46.5416666666667,161,120,null,null,null,null,0.248274142160859,188.625,46.5416666666667,161,120,
78,0.248309659114465,188.742424242424,46.5757575757576,172,132,null,null,null,null,0.248309659114465,188.742424242424,46.5757575757576,172,132,
79,0.249130154667482,187.746478873239,46.5492957746479,185,142,null,null,null,null,0.249130154667482,187.746478873239,46.5492957746479,185,142,
80,0.249228778537229,187.659722222222,46.5486111111111,191,144,null,null,null,null,0.249228778537229,187.659722222222,46.5486111111111,191,144,
81,0.249028774846433,187.558620689655,46.4896551724138,193,145,null,null,null,null,0.249028774846433,187.558620689655,46.4896551724138,193,145,
82,0.249085302316115,187.544827586207,46.4965517241379,193,145,null,null,null,null,0.249085302316115,187.544827586207,46.4965517241379,193,145,
83,0.24826876954129,188.409395973154,46.4630872483221,200,149,null,null,null,null,0.24826876954129,188.409395973154,46.4630872483221,200,149,
84,0.249058955933135,187.415584415584,46.474025974026,210,154,null,null,null,null,0.249058955933135,187.415584415584,46.474025974026,210,154,
85,0.248092550733993,188.628048780488,46.5,224,164,null,null,null,null,0.248092550733993,188.628048780488,46.5,224,164,
86,0.248278350184305,187.901162790698,46.406976744186,235,172,null,null,null,null,0.248278350184305,187.901162790698,46.406976744186,235,172,
87,0.248649249785539,187.142857142857,46.3485714285714,237,175,null,null,null,null,0.248649249785539,187.142857142857,46.3485714285714,237,175,
88,0.247705268930907,188.146892655367,46.3333333333333,238,177,null,null,null,null,0.247705268930907,188.146892655367,46.3333333333333,238,177,
89,0.247181025411177,188.296089385475,46.2458100558659,242,179,null,null,null,null,0.247181025411177,188.296089385475,46.2458100558659,242,179,
90,0.247901132105181,188.154255319149,46.3563829787234,252,188,null,null,null,null,0.247901132105181,188.154255319149,46.3563829787234,252,188,
91,0.248623563136679,187.209183673469,46.3469387755102,263,196,null,null,null,null,0.248623563136679,187.209183673469,46.3469387755102,263,196,
92,0.249229638339576,186.406862745098,46.328431372549,273,204,null,null,null,null,0.249229638339576,186.406862745098,46.328431372549,273,204,
93,0.248180172552865,187.371428571429,46.3,277,210,null,null,null,null,0.248180172552865,187.371428571429,46.3,277,210,
94,0.248213194106187,187.385714285714,46.3095238095238,281,210,null,null,null,null,0.248213194106187,187.385714285714,46.3095238095238,281,210,
95,0.248204948095439,187.371428571429,46.3047619047619,284,210,null,null,null,null,0.248204948095439,187.371428571429,46.3047619047619,284,210,
96,0.248182445762294,187.401869158878,46.2943925233645,290,214,null,null,null,null,0.248182445762294,187.401869158878,46.2943925233645,290,214,
97,0.247547538131284,188.030837004405,46.2819383259912,306,227,null,null,null,null,0.247547538131284,188.030837004405,46.2819383259912,306,227,
98,0.247564895665048,187.848101265823,46.253164556962,319,237,null,null,null,null,0.247564895665048,187.848101265823,46.253164556962,319,237,
99,0.247112363677736,187.9670781893,46.1728395061728,324,243,null,null,null,null,0.247112363677736,187.9670781893,46.1728395061728,324,243,
100,0.247408645844794,187.987654320988,46.2304526748971,327,243,null,null,null,null,0.247408645844794,187.987654320988,46.2304526748971,327,243,
101,0.246981846276705,188.70564516129,46.2741935483871,331,248,null,null,null,null,0.246981846276705,188.70564516129,46.2741935483871,331,248,
102,0.246693755532723,188.818181818182,46.2490118577075,337,253,null,null,null,null,0.246693755532723,188.818181818182,46.2490118577075,337,253,
103,0.246399720242602,189.432950191571,46.2911877394636,352,261,null,null,null,null,0.246399720242602,189.432950191571,46.2911877394636,352,261,
104,0.246511841455414,189.637992831541,46.3512544802867,367,279,null,null,null,null,0.246511841455414,189.637992831541,46.3512544802867,367,279,
105,0.246086411150494,190.076124567474,46.3356401384083,374,289,null,null,null,null,0.246086411150494,190.076124567474,46.3356401384083,374,289,
106,0.246281679952344,189.561224489796,46.2789115646259,382,294,null,null,null,null,0.246281679952344,189.561224489796,46.2789115646259,382,294,
107,0.245619928457393,190.14527027027,46.25,387,296,null,null,null,null,0.245619928457393,190.14527027027,46.25,387,296,
108,0.245614138528973,190.10101010101,46.2390572390572,395,297,null,null,null,null,0.245614138528973,190.10101010101,46.2390572390572,395,297,
109,0.245943863741804,189.540983606557,46.1934426229508,404,305,null,null,null,null,0.245943863741804,189.540983606557,46.1934426229508,404,305,
110,0.245912683244937,189.943573667712,46.2570532915361,425,319,null,null,null,null,0.245912683244937,189.943573667712,46.2570532915361,425,319,
111,0.245257351772811,190.712962962963,46.2592592592593,432,324,null,null,null,null,0.245257351772811,190.712962962963,46.2592592592593,432,324,
112,0.244782484024866,190.910216718266,46.1950464396285,436,323,null,null,null,null,0.244782484024866,190.910216718266,46.1950464396285,436,323,
113,0.243943279726824,191.486068111455,46.1331269349845,443,323,null,null,null,null,0.243943279726824,191.486068111455,46.1331269349845,443,323,
114,0.243338543821553,192.113149847095,46.1253822629969,450,327,null,null,null,null,0.243338543821553,192.113149847095,46.1253822629969,450,327,
115,0.24239236990932,193.380664652568,46.166163141994,455,331,null,null,null,null,0.24239236990932,193.380664652568,46.166163141994,455,331,
116,0.243319013873793,193.246418338109,46.3123209169054,476,349,null,null,null,null,0.243319013873793,193.246418338109,46.3123209169054,476,349,
117,0.243303618180569,192.983098591549,46.2676056338028,482,355,null,null,null,null,0.243303618180569,192.983098591549,46.2676056338028,482,355,
118,0.243110824590207,192.588555858311,46.1471389645777,486,367,null,null,null,null,0.243110824590207,192.588555858311,46.1471389645777,486,367,
119,0.243000445932151,192.627027027027,46.127027027027,491,370,null,null,null,null,0.243000445932151,192.627027027027,46.127027027027,491,370,
120,0.242542632602643,193.305263157895,46.1631578947368,500,380,null,null,null,null,0.242542632602643,193.305263157895,46.1631578947368,500,380,
121,0.24165694813904,194.378865979381,46.1726804123711,509,388,null,null,null,null,0.24165694813904,194.378865979381,46.1726804123711,509,388,
122,0.242621713506802,193.466666666667,46.2,529,405,null,null,null,null,0.242621713506802,193.466666666667,46.2,529,405,
123,0.241996236602014,193.852867830424,46.1346633416459,541,401,null,null,null,null,0.241996236602014,193.852867830424,46.1346633416459,541,401,
124,0.241494535825027,194.102941176471,46.0808823529412,548,408,null,null,null,null,0.241494535825027,194.102941176471,46.0808823529412,548,408,
125,0.241163300340228,194.646489104116,46.1016949152542,555,413,null,null,null,null,0.241163300340228,194.646489104116,46.1016949152542,555,413,
126,0.241126216381361,194.88038277512,46.1363636363636,561,418,null,null,null,null,0.241126216381361,194.88038277512,46.1363636363636,561,418,
127,0.240888512143672,195.568764568765,46.2074592074592,577,429,null,null,null,null,0.240888512143672,195.568764568765,46.2074592074592,577,429,
128,0.240484642968234,195.780092592593,46.1689814814815,589,432,null,null,null,null,0.240484642968234,195.780092592593,46.1689814814815,589,432,
129,0.241409646170668,194.95871559633,46.2087155963303,599,436,null,null,null,null,0.241409646170668,194.95871559633,46.2087155963303,599,436,
130,0.241641311569855,194.563636363636,46.1840909090909,604,440,null,null,null,null,0.241641311569855,194.563636363636,46.1840909090909,604,440,
131,0.24112291469405,194.766816143498,46.1188340807175,612,446,null,null,null,null,0.24112291469405,194.766816143498,46.1188340807175,612,446,
132,0.240781324514986,195.099118942731,46.0947136563877,623,454,null,null,null,null,0.240781324514986,195.099118942731,46.0947136563877,623,454,
133,0.240177290605132,195.581196581197,46.0683760683761,633,468,null,null,null,null,0.240177290605132,195.581196581197,46.0683760683761,633,468,
