# Name = @default@10000

# Functions = 000000000 = none are picked 
# FitP = Average Fitness of Viable Population 
# CstP = Average Offspring Cost of Viable Population 
# EarP = Average Energy Acquisition Rate of Viable Population 
# NumP = Total Polution Size 
# ViaP = Viable Population Size 
# FitF = Average Fitness of avidians performing picked functions 
# CstF = Average Offspring Cost avidians performing picked functions 
# EarF = Average Energy Acquisition Rate avidians performing functions 
# NumF = Number of avidians performing picked functions 
# columns for statistics for each ancestor (up to 16) will follow. Each column will use 3 letters for the 
# data type followed by _##; where the number with a leading zero is for each ancestor 
# ancestor 00 is @ancestor
Update,FitP,CstP,EarP,NumP,ViaP,FitF,CstF,EarF,NumF,Fit_00,Cst_00,Ear_00,Num_00,Via_00,
0,0.248677248677249,189,47,1,1,null,null,null,null,0.248677248677249,189,47,1,1,
1,0.248677248677249,189,47,1,1,null,null,null,null,0.248677248677249,189,47,1,1,
2,0.248677248677249,189,47,1,1,null,null,null,null,0.248677248677249,189,47,1,1,
3,0.248677248677249,189,47,1,1,null,null,null,null,0.248677248677249,189,47,1,1,
4,0.248677248677249,189,47,1,1,null,null,null,null,0.248677248677249,189,47,1,1,
5,0.248677248677249,189,47,1,1,null,null,null,null,0.248677248677249,189,47,1,1,
6,0.248677248677249,189,47,2,2,null,null,null,null,0.248677248677249,189,47,2,2,
7,0.248677248677249,189,47,2,2,null,null,null,null,0.248677248677249,189,47,2,2,
8,0.248677248677249,189,47,2,2,null,null,null,null,0.248677248677249,189,47,2,2,
9,0.248677248677249,189,47,2,2,null,null,null,null,0.248677248677249,189,47,2,2,
10,0.248677248677249,189,47,2,2,null,null,null,null,0.248677248677249,189,47,2,2,
11,0.248677248677249,189,47,2,2,null,null,null,null,0.248677248677249,189,47,2,2,
12,0.248677248677249,189,47,3,2,null,null,null,null,0.248677248677249,189,47,3,2,
13,0.248677248677249,189,47,4,3,null,null,null,null,0.248677248677249,189,47,4,3,
14,0.248677248677249,189,47,4,3,null,null,null,null,0.248677248677249,189,47,4,3,
15,0.248677248677249,189,47,4,3,null,null,null,null,0.248677248677249,189,47,4,3,
16,0.248677248677249,189,47,4,3,null,null,null,null,0.248677248677249,189,47,4,3,
17,0.248677248677249,189,47,4,3,null,null,null,null,0.248677248677249,189,47,4,3,
18,0.248677248677249,189,47,4,3,null,null,null,null,0.248677248677249,189,47,4,3,
19,0.248941798941799,188.8,47,6,5,null,null,null,null,0.248941798941799,188.8,47,6,5,
20,0.248897707231041,188.833333333333,47,7,6,null,null,null,null,0.248897707231041,188.833333333333,47,7,6,
21,0.248897707231041,188.833333333333,47,7,6,null,null,null,null,0.248897707231041,188.833333333333,47,7,6,
22,0.248897707231041,188.833333333333,47,7,6,null,null,null,null,0.248897707231041,188.833333333333,47,7,6,
23,0.248897707231041,188.833333333333,47,7,6,null,null,null,null,0.248897707231041,188.833333333333,47,7,6,
24,0.248897707231041,188.833333333333,47,7,6,null,null,null,null,0.248897707231041,188.833333333333,47,7,6,
25,0.249439202204179,188.428571428571,47,8,7,null,null,null,null,0.249439202204179,188.428571428571,47,8,7,
26,0.24552764823643,187.2,46,11,10,null,null,null,null,0.24552764823643,187.2,46,11,10,
27,0.246052581643233,187.5,46.1666666666667,13,12,null,null,null,null,0.246052581643233,187.5,46.1666666666667,13,12,
28,0.246052581643233,187.5,46.1666666666667,13,12,null,null,null,null,0.246052581643233,187.5,46.1666666666667,13,12,
29,0.246052581643233,187.5,46.1666666666667,13,12,null,null,null,null,0.246052581643233,187.5,46.1666666666667,13,12,
30,0.246052581643233,187.5,46.1666666666667,13,12,null,null,null,null,0.246052581643233,187.5,46.1666666666667,13,12,
31,0.246563011673985,187.384615384615,46.2307692307692,15,13,null,null,null,null,0.246563011673985,187.384615384615,46.2307692307692,15,13,
32,0.244851487601755,186.9375,45.8125,18,16,null,null,null,null,0.244851487601755,186.9375,45.8125,18,16,
33,0.243945600694994,186.809523809524,45.6190476190476,23,21,null,null,null,null,0.243945600694994,186.809523809524,45.6190476190476,23,21,
34,0.24370567458461,186.782608695652,45.5652173913044,25,23,null,null,null,null,0.24370567458461,186.782608695652,45.5652173913044,25,23,
35,0.24370567458461,186.782608695652,45.5652173913044,25,23,null,null,null,null,0.24370567458461,186.782608695652,45.5652173913044,25,23,
36,0.24370567458461,186.782608695652,45.5652173913044,25,23,null,null,null,null,0.24370567458461,186.782608695652,45.5652173913044,25,23,
37,0.243297379245592,186.818181818182,45.5,26,22,null,null,null,null,0.243297379245592,186.818181818182,45.5,26,22,
38,0.240738679153594,190.96,45.72,29,25,null,null,null,null,0.240738679153594,190.96,45.72,29,25,
39,0.240488218837791,192.172413793103,45.9310344827586,34,29,null,null,null,null,0.240488218837791,192.172413793103,45.9310344827586,34,29,
40,0.240476439921785,191.272727272727,45.7575757575758,41,33,null,null,null,null,0.240476439921785,191.272727272727,45.7575757575758,41,33,
41,0.240314564559251,191.029411764706,45.6764705882353,42,34,null,null,null,null,0.240314564559251,191.029411764706,45.6764705882353,42,34,
42,0.240314564559251,191.029411764706,45.6764705882353,43,34,null,null,null,null,0.240314564559251,191.029411764706,45.6764705882353,43,34,
43,0.240668096201644,190.885714285714,45.7142857142857,44,35,null,null,null,null,0.240668096201644,190.885714285714,45.7142857142857,44,35,
44,0.241136773398238,190.756756756757,45.7837837837838,46,37,null,null,null,null,0.241136773398238,190.756756756757,45.7837837837838,46,37,
45,0.241659856731442,190.564102564103,45.8461538461538,50,39,null,null,null,null,0.241659856731442,190.564102564103,45.8461538461538,50,39,
46,0.242529574564482,190.487804878049,46,53,41,null,null,null,null,0.242529574564482,190.487804878049,46,53,41,
47,0.240997901514569,192.386363636364,46.0227272727273,58,44,null,null,null,null,0.240997901514569,192.386363636364,46.0227272727273,58,44,
48,0.240864007649703,192.177777777778,45.9555555555556,60,45,null,null,null,null,0.240864007649703,192.177777777778,45.9555555555556,60,45,
49,0.24186007439423,192.355555555556,46.1777777777778,61,45,null,null,null,null,0.24186007439423,192.355555555556,46.1777777777778,61,45,
50,0.241919497171342,192.311111111111,46.1777777777778,62,45,null,null,null,null,0.241919497171342,192.311111111111,46.1777777777778,62,45,
51,0.241919497171342,192.311111111111,46.1777777777778,63,45,null,null,null,null,0.241919497171342,192.311111111111,46.1777777777778,63,45,
52,0.242631306815229,191.673469387755,46.1836734693878,69,49,null,null,null,null,0.242631306815229,191.673469387755,46.1836734693878,69,49,
53,0.241713581029088,193.188679245283,46.2641509433962,72,53,null,null,null,null,0.241713581029088,193.188679245283,46.2641509433962,72,53,
54,0.241152747517967,192.851851851852,46.0925925925926,73,54,null,null,null,null,0.241152747517967,192.851851851852,46.0925925925926,73,54,
55,0.238858422537353,195.035087719298,46.0350877192982,78,57,null,null,null,null,0.238858422537353,195.035087719298,46.0350877192982,78,57,
56,0.235414062139569,199.431034482759,46.1034482758621,79,58,null,null,null,null,0.235414062139569,199.431034482759,46.1034482758621,79,58,
57,0.233672477636719,201.40350877193,46.1052631578947,80,57,null,null,null,null,0.233672477636719,201.40350877193,46.1052631578947,80,57,
58,0.235123515895709,199.677966101695,46.1016949152542,82,59,null,null,null,null,0.235123515895709,199.677966101695,46.1016949152542,82,59,
59,0.237695172431884,197.140625,46.15625,89,64,null,null,null,null,0.237695172431884,197.140625,46.15625,89,64,
60,0.23790504513902,196.984615384615,46.1692307692308,90,65,null,null,null,null,0.23790504513902,196.984615384615,46.1692307692308,90,65,
61,0.23826520676615,196.597014925373,46.1641791044776,93,67,null,null,null,null,0.23826520676615,196.597014925373,46.1641791044776,93,67,
62,0.239070585594315,193.779411764706,45.7941176470588,96,68,null,null,null,null,0.239070585594315,193.779411764706,45.7941176470588,96,68,
63,0.238344631689653,193.731343283582,45.6417910447761,96,67,null,null,null,null,0.238344631689653,193.731343283582,45.6417910447761,96,67,
64,0.238433295582431,193.529411764706,45.6176470588235,99,68,null,null,null,null,0.238433295582431,193.529411764706,45.6176470588235,99,68,
65,0.235481537158286,197.027397260274,45.6301369863014,105,73,null,null,null,null,0.235481537158286,197.027397260274,45.6301369863014,105,73,
66,0.23367520644278,199.828947368421,45.7105263157895,112,76,null,null,null,null,0.23367520644278,199.828947368421,45.7105263157895,112,76,
67,0.233925709676597,199.855263157895,45.7631578947368,113,76,null,null,null,null,0.233925709676597,199.855263157895,45.7631578947368,113,76,
68,0.235006760710434,199.538461538462,45.9102564102564,116,78,null,null,null,null,0.235006760710434,199.538461538462,45.9102564102564,116,78,
69,0.23466971123491,199.1125,45.775,119,80,null,null,null,null,0.23466971123491,199.1125,45.775,119,80,
70,0.234561667540222,199.373493975904,45.8313253012048,121,83,null,null,null,null,0.234561667540222,199.373493975904,45.8313253012048,121,83,
71,0.234227066756011,200.139534883721,45.906976744186,127,86,null,null,null,null,0.234227066756011,200.139534883721,45.906976744186,127,86,
72,0.235475952890498,199.184782608696,45.9782608695652,132,92,null,null,null,null,0.235475952890498,199.184782608696,45.9782608695652,132,92,
73,0.234538742085173,200.358695652174,45.9891304347826,135,92,null,null,null,null,0.234538742085173,200.358695652174,45.9891304347826,135,92,
74,0.235629985017596,199.720430107527,46.1290322580645,138,93,null,null,null,null,0.235629985017596,199.720430107527,46.1290322580645,138,93,
75,0.232876420766512,202.30612244898,46,143,98,null,null,null,null,0.232876420766512,202.30612244898,46,143,98,
76,0.232379231868265,203.03,46.03,145,100,null,null,null,null,0.232379231868265,203.03,46.03,145,100,
77,0.231211965391872,202.942857142857,45.7904761904762,150,105,null,null,null,null,0.231211965391872,202.942857142857,45.7904761904762,150,105,
78,0.233061283578855,200.719298245614,45.7982456140351,156,114,null,null,null,null,0.233061283578855,200.719298245614,45.7982456140351,156,114,
79,0.23376182097968,199.478991596639,45.6974789915966,161,119,null,null,null,null,0.23376182097968,199.478991596639,45.6974789915966,161,119,
80,0.233398192573714,200.859504132231,45.8595041322314,163,121,null,null,null,null,0.233398192573714,200.859504132231,45.8595041322314,163,121,
81,0.233785676402388,200.328,45.84,168,125,null,null,null,null,0.233785676402388,200.328,45.84,168,125,
82,0.233659467174226,199.984732824427,45.7709923664122,174,131,null,null,null,null,0.233659467174226,199.984732824427,45.7709923664122,174,131,
83,0.233611369103105,200.571428571429,45.8646616541353,179,133,null,null,null,null,0.233611369103105,200.571428571429,45.8646616541353,179,133,
84,0.232668916844175,201.006896551724,45.7241379310345,187,145,null,null,null,null,0.232668916844175,201.006896551724,45.7241379310345,187,145,
85,0.232174555083784,201.987012987013,45.7922077922078,194,154,null,null,null,null,0.232174555083784,201.987012987013,45.7922077922078,194,154,
86,0.232067350123756,202.398734177215,45.8037974683544,199,158,null,null,null,null,0.232067350123756,202.398734177215,45.8037974683544,199,158,
87,0.231802040678275,202,45.680981595092,205,163,null,null,null,null,0.231802040678275,202,45.680981595092,205,163,
88,0.232922631209613,200.643274853801,45.6608187134503,211,171,null,null,null,null,0.232922631209613,200.643274853801,45.6608187134503,211,171,
89,0.233789023849731,199.735632183908,45.6666666666667,216,174,null,null,null,null,0.233789023849731,199.735632183908,45.6666666666667,216,174,
90,0.233161944879981,201.198895027624,45.8011049723757,228,181,null,null,null,null,0.233161944879981,201.198895027624,45.8011049723757,228,181,
91,0.233994451429463,200.752688172043,45.8924731182796,233,186,null,null,null,null,0.233994451429463,200.752688172043,45.8924731182796,233,186,
92,0.234514560824996,199.866666666667,45.8461538461538,244,195,null,null,null,null,0.234514560824996,199.866666666667,45.8461538461538,244,195,
93,0.235113301697658,198.922279792746,45.7927461139896,247,193,null,null,null,null,0.235113301697658,198.922279792746,45.7927461139896,247,193,
94,0.235735503584699,197.964102564103,45.774358974359,252,195,null,null,null,null,0.235735503584699,197.964102564103,45.774358974359,252,195,
95,0.234558339882635,199.688775510204,45.8418367346939,263,196,null,null,null,null,0.234558339882635,199.688775510204,45.8418367346939,263,196,
96,0.236050091684957,197.751219512195,45.809756097561,273,205,null,null,null,null,0.236050091684957,197.751219512195,45.809756097561,273,205,
97,0.237165564279897,196.567307692308,45.8317307692308,280,208,null,null,null,null,0.237165564279897,196.567307692308,45.8317307692308,280,208,
98,0.238085752540915,196.354838709677,45.9493087557604,288,217,null,null,null,null,0.238085752540915,196.354838709677,45.9493087557604,288,217,
99,0.23838430978125,195.756880733945,45.8990825688073,292,218,null,null,null,null,0.23838430978125,195.756880733945,45.8990825688073,292,218,
100,0.237976875621446,194.77130044843,45.6457399103139,296,223,null,null,null,null,0.237976875621446,194.77130044843,45.6457399103139,296,223,
101,0.237418462703596,195.268398268398,45.6277056277056,301,231,null,null,null,null,0.237418462703596,195.268398268398,45.6277056277056,301,231,
102,0.237130933019905,195.827004219409,45.6666666666667,308,237,null,null,null,null,0.237130933019905,195.827004219409,45.6666666666667,308,237,
103,0.236590039342809,197.563265306122,45.8448979591837,319,245,null,null,null,null,0.236590039342809,197.563265306122,45.8448979591837,319,245,
104,0.235837543667991,198.292682926829,45.8089430894309,324,246,null,null,null,null,0.235837543667991,198.292682926829,45.8089430894309,324,246,
105,0.235619170571947,198.921875,45.875,335,256,null,null,null,null,0.235619170571947,198.921875,45.875,335,256,
106,0.237385366167069,196.582677165354,45.8267716535433,338,254,null,null,null,null,0.237385366167069,196.582677165354,45.8267716535433,338,254,
107,0.237564921006604,195.738461538462,45.7115384615385,344,260,null,null,null,null,0.237564921006604,195.738461538462,45.7115384615385,344,260,
108,0.237366891157504,195.763157894737,45.6541353383459,351,266,null,null,null,null,0.237366891157504,195.763157894737,45.6541353383459,351,266,
109,0.237500362249292,195.275362318841,45.5905797101449,359,276,null,null,null,null,0.237500362249292,195.275362318841,45.5905797101449,359,276,
110,0.238085175743583,194.783687943262,45.6524822695035,366,282,null,null,null,null,0.238085175743583,194.783687943262,45.6524822695035,366,282,
111,0.238476159580153,194.643356643357,45.6993006993007,374,286,null,null,null,null,0.238476159580153,194.643356643357,45.6993006993007,374,286,
112,0.238222569953697,194.893835616438,45.6986301369863,382,292,null,null,null,null,0.238222569953697,194.893835616438,45.6986301369863,382,292,
113,0.238070957059264,194.793918918919,45.6385135135135,391,296,null,null,null,null,0.238070957059264,194.793918918919,45.6385135135135,391,296,
114,0.238725602664095,194.554054054054,45.7263513513514,400,296,null,null,null,null,0.238725602664095,194.554054054054,45.7263513513514,400,296,
115,0.238509034109455,195.191419141914,45.7821782178218,408,303,null,null,null,null,0.238509034109455,195.191419141914,45.7821782178218,408,303,
116,0.239086057100505,193.877419354839,45.6903225806452,419,310,null,null,null,null,0.239086057100505,193.877419354839,45.6903225806452,419,310,
117,0.239518477998119,193.414556962025,45.6740506329114,427,316,null,null,null,null,0.239518477998119,193.414556962025,45.6740506329114,427,316,
118,0.239620854088402,193.261682242991,45.6760124610592,431,321,null,null,null,null,0.239620854088402,193.261682242991,45.6760124610592,431,321,
119,0.239584201633554,193.272445820433,45.6687306501548,439,323,null,null,null,null,0.239584201633554,193.272445820433,45.6687306501548,439,323,
120,0.239385186109668,193.818731117825,45.7190332326284,452,331,null,null,null,null,0.239385186109668,193.818731117825,45.7190332326284,452,331,
121,0.238995253632943,194.107558139535,45.6918604651163,463,344,null,null,null,null,0.238995253632943,194.107558139535,45.6918604651163,463,344,
122,0.238626516518748,194.188202247191,45.6292134831461,474,356,null,null,null,null,0.238626516518748,194.188202247191,45.6292134831461,474,356,
123,0.238952072141244,193.64406779661,45.5960451977401,479,354,null,null,null,null,0.238952072141244,193.64406779661,45.5960451977401,479,354,
124,0.239196195870137,193.351955307263,45.5865921787709,486,358,null,null,null,null,0.239196195870137,193.351955307263,45.5865921787709,486,358,
125,0.23896464665229,193.527027027027,45.5756756756757,494,370,null,null,null,null,0.23896464665229,193.527027027027,45.5756756756757,494,370,
126,0.238819313820981,193.633245382586,45.5778364116095,504,379,null,null,null,null,0.238819313820981,193.633245382586,45.5778364116095,504,379,
127,0.23916943115885,193.129533678756,45.5414507772021,511,386,null,null,null,null,0.23916943115885,193.129533678756,45.5414507772021,511,386,
128,0.237959051061328,193.784263959391,45.4314720812183,527,394,null,null,null,null,0.237959051061328,193.784263959391,45.4314720812183,527,394,
129,0.23833696276012,193.488778054863,45.4413965087282,536,401,null,null,null,null,0.23833696276012,193.488778054863,45.4413965087282,536,401,
130,0.238145066425071,194.019464720195,45.4598540145985,544,411,null,null,null,null,0.238145066425071,194.019464720195,45.4598540145985,544,411,
131,0.237648824907041,194.73031026253,45.4749403341289,557,419,null,null,null,null,0.237648824907041,194.73031026253,45.4749403341289,557,419,
132,0.237599198448448,194.679814385151,45.4524361948956,568,431,null,null,null,null,0.237599198448448,194.679814385151,45.4524361948956,568,431,
133,0.237867131880618,194.302059496567,45.4508009153318,577,437,null,null,null,null,0.237867131880618,194.302059496567,45.4508009153318,577,437,
