# Name = @default@10000

# Functions = 000000000 = none are picked 
# FitP = Average Fitness of Viable Population 
# CstP = Average Offspring Cost of Viable Population 
# EarP = Average Energy Acquisition Rate of Viable Population 
# NumP = Total Polution Size 
# ViaP = Viable Population Size 
# FitF = Average Fitness of avidians performing picked functions 
# CstF = Average Offspring Cost avidians performing picked functions 
# EarF = Average Energy Acquisition Rate avidians performing functions 
# NumF = Number of avidians performing picked functions 
# columns for statistics for each ancestor (up to 16) will follow. Each column will use 3 letters for the 
# data type followed by _##; where the number with a leading zero is for each ancestor 
# ancestor 00 is @ancestor
Update,FitP,CstP,EarP,NumP,ViaP,FitF,CstF,EarF,NumF,Fit_00,Cst_00,Ear_00,Num_00,Via_00,
0,0.248677248677249,189,47,1,1,null,null,null,null,0.248677248677249,189,47,1,1,
1,0.248677248677249,189,47,1,1,null,null,null,null,0.248677248677249,189,47,1,1,
2,0.248677248677249,189,47,1,1,null,null,null,null,0.248677248677249,189,47,1,1,
3,0.248677248677249,189,47,1,1,null,null,null,null,0.248677248677249,189,47,1,1,
4,0.248677248677249,189,47,1,1,null,null,null,null,0.248677248677249,189,47,1,1,
5,0.248677248677249,189,47,1,1,null,null,null,null,0.248677248677249,189,47,1,1,
6,0.250007073536485,188,47,2,2,null,null,null,null,0.250007073536485,188,47,2,2,
7,0.250007073536485,188,47,2,2,null,null,null,null,0.250007073536485,188,47,2,2,
8,0.250007073536485,188,47,2,2,null,null,null,null,0.250007073536485,188,47,2,2,
9,0.250007073536485,188,47,2,2,null,null,null,null,0.250007073536485,188,47,2,2,
10,0.250007073536485,188,47,2,2,null,null,null,null,0.250007073536485,188,47,2,2,
11,0.250007073536485,188,47,2,2,null,null,null,null,0.250007073536485,188,47,2,2,
12,0.250450348489564,187.666666666667,47,3,3,null,null,null,null,0.250450348489564,187.666666666667,47,3,3,
13,0.250007073536485,188,47,4,4,null,null,null,null,0.250007073536485,188,47,4,4,
14,0.250007073536485,188,47,4,4,null,null,null,null,0.250007073536485,188,47,4,4,
15,0.250007073536485,188,47,4,4,null,null,null,null,0.250007073536485,188,47,4,4,
16,0.250007073536485,188,47,4,4,null,null,null,null,0.250007073536485,188,47,4,4,
17,0.250007073536485,188,47,4,4,null,null,null,null,0.250007073536485,188,47,4,4,
18,0.233338992162522,208,47.2,5,5,null,null,null,null,0.233338992162522,208,47.2,5,5,
19,0.236563855475936,204.333333333333,47.1666666666667,7,6,null,null,null,null,0.236563855475936,204.333333333333,47.1666666666667,7,6,
20,0.238294340218981,202.142857142857,47.1428571428571,8,7,null,null,null,null,0.238294340218981,202.142857142857,47.1428571428571,8,7,
21,0.238294340218981,202.142857142857,47.1428571428571,8,7,null,null,null,null,0.238294340218981,202.142857142857,47.1428571428571,8,7,
22,0.238294340218981,202.142857142857,47.1428571428571,8,7,null,null,null,null,0.238294340218981,202.142857142857,47.1428571428571,8,7,
23,0.238294340218981,202.142857142857,47.1428571428571,8,7,null,null,null,null,0.238294340218981,202.142857142857,47.1428571428571,8,7,
24,0.239757547691608,200.375,47.125,9,8,null,null,null,null,0.239757547691608,200.375,47.125,9,8,
25,0.239757547691608,200.375,47.125,10,8,null,null,null,null,0.239757547691608,200.375,47.125,10,8,
26,0.242794016211301,196.818181818182,47.0909090909091,13,11,null,null,null,null,0.242794016211301,196.818181818182,47.0909090909091,13,11,
27,0.242794016211301,196.818181818182,47.0909090909091,14,11,null,null,null,null,0.242794016211301,196.818181818182,47.0909090909091,14,11,
28,0.236450070415915,204.416666666667,47.1666666666667,15,12,null,null,null,null,0.236450070415915,204.416666666667,47.1666666666667,15,12,
29,0.236450070415915,204.416666666667,47.1666666666667,15,12,null,null,null,null,0.236450070415915,204.416666666667,47.1666666666667,15,12,
30,0.237595211029746,203.076923076923,47.1538461538462,16,13,null,null,null,null,0.237595211029746,203.076923076923,47.1538461538462,16,13,
31,0.237595211029746,203.076923076923,47.1538461538462,17,13,null,null,null,null,0.237595211029746,203.076923076923,47.1538461538462,17,13,
32,0.238576760127316,201.928571428571,47.1428571428571,20,14,null,null,null,null,0.238576760127316,201.928571428571,47.1428571428571,20,14,
33,0.240171777410867,200.0625,47.125,23,16,null,null,null,null,0.240171777410867,200.0625,47.125,23,16,
34,0.24090803591864,199.235294117647,47.1176470588235,24,17,null,null,null,null,0.24090803591864,199.235294117647,47.1176470588235,24,17,
35,0.24090803591864,199.235294117647,47.1176470588235,24,17,null,null,null,null,0.24090803591864,199.235294117647,47.1176470588235,24,17,
36,0.24090803591864,199.235294117647,47.1176470588235,25,17,null,null,null,null,0.24090803591864,199.235294117647,47.1176470588235,25,17,
37,0.239628539199386,198.111111111111,46.6666666666667,26,18,null,null,null,null,0.239628539199386,198.111111111111,46.6666666666667,26,18,
38,0.236030106090226,202.631578947368,46.7368421052632,28,19,null,null,null,null,0.236030106090226,202.631578947368,46.7368421052632,28,19,
39,0.236371552930337,202.88,46.84,34,25,null,null,null,null,0.236371552930337,202.88,46.84,34,25,
40,0.237050534372967,202.192307692308,46.8461538461538,35,26,null,null,null,null,0.237050534372967,202.192307692308,46.8461538461538,35,26,
41,0.237680294361156,201.555555555556,46.8518518518519,36,27,null,null,null,null,0.237680294361156,201.555555555556,46.8518518518519,36,27,
42,0.237680294361156,201.555555555556,46.8518518518519,37,27,null,null,null,null,0.237680294361156,201.555555555556,46.8518518518519,37,27,
43,0.237680294361156,201.555555555556,46.8518518518519,37,27,null,null,null,null,0.237680294361156,201.555555555556,46.8518518518519,37,27,
44,0.239363536600791,201.321428571429,47.1428571428571,38,28,null,null,null,null,0.239363536600791,201.321428571429,47.1428571428571,38,28,
45,0.238660921869852,200.51724137931,46.8620689655172,42,29,null,null,null,null,0.238660921869852,200.51724137931,46.8620689655172,42,29,
46,0.239850649633743,199.25,46.875,47,32,null,null,null,null,0.239850649633743,199.25,46.875,47,32,
47,0.237709219083613,201.848484848485,46.9090909090909,49,33,null,null,null,null,0.237709219083613,201.848484848485,46.9090909090909,49,33,
48,0.236123993958909,203.828571428571,46.9428571428571,52,35,null,null,null,null,0.236123993958909,203.828571428571,46.9428571428571,52,35,
49,0.236546574637709,203.361111111111,46.9444444444444,52,36,null,null,null,null,0.236546574637709,203.361111111111,46.9444444444444,52,36,
50,0.237361335289779,202.473684210526,46.9473684210526,53,38,null,null,null,null,0.237361335289779,202.473684210526,46.9473684210526,53,38,
51,0.236735082345456,200.47619047619,46.4761904761905,58,42,null,null,null,null,0.236735082345456,200.47619047619,46.4761904761905,58,42,
52,0.235642953528021,202.088888888889,46.5333333333333,61,45,null,null,null,null,0.235642953528021,202.088888888889,46.5333333333333,61,45,
53,0.236526900125679,199.862745098039,46.3137254901961,67,51,null,null,null,null,0.236526900125679,199.862745098039,46.3137254901961,67,51,
54,0.237239849372069,199.264150943396,46.3396226415094,68,53,null,null,null,null,0.237239849372069,199.264150943396,46.3396226415094,68,53,
55,0.237550953007592,199,46.3518518518519,69,54,null,null,null,null,0.237550953007592,199,46.3518518518519,69,54,
56,0.238140614590387,198.5,46.375,72,56,null,null,null,null,0.238140614590387,198.5,46.375,72,56,
57,0.235157967386759,202.377049180328,46.4754098360656,74,61,null,null,null,null,0.235157967386759,202.377049180328,46.4754098360656,74,61,
58,0.234110204419034,202.707692307692,46.3230769230769,78,65,null,null,null,null,0.234110204419034,202.707692307692,46.3230769230769,78,65,
59,0.234084282567558,202.388888888889,46.2638888888889,86,72,null,null,null,null,0.234084282567558,202.388888888889,46.2638888888889,86,72,
60,0.235029592612736,201.552631578947,46.3026315789474,91,76,null,null,null,null,0.235029592612736,201.552631578947,46.3026315789474,91,76,
61,0.234066488753903,201.506666666667,46.1066666666667,93,75,null,null,null,null,0.234066488753903,201.506666666667,46.1066666666667,93,75,
62,0.234872198832257,200.846153846154,46.1410256410256,96,78,null,null,null,null,0.234872198832257,200.846153846154,46.1410256410256,96,78,
63,0.235122989885431,201.2,46.275,97,80,null,null,null,null,0.235122989885431,201.2,46.275,97,80,
64,0.235468833234246,200.890243902439,46.2926829268293,99,82,null,null,null,null,0.235468833234246,200.890243902439,46.2926829268293,99,82,
65,0.237393902515124,198.770114942529,46.2873563218391,106,87,null,null,null,null,0.237393902515124,198.770114942529,46.2873563218391,106,87,
66,0.238323059123573,197.774193548387,46.2795698924731,114,93,null,null,null,null,0.238323059123573,197.774193548387,46.2795698924731,114,93,
67,0.236526093370598,200.094736842105,46.3157894736842,116,95,null,null,null,null,0.236526093370598,200.094736842105,46.3157894736842,116,95,
68,0.236805908350579,198.754901960784,46.1274509803922,125,102,null,null,null,null,0.236805908350579,198.754901960784,46.1274509803922,125,102,
69,0.237137184306617,198.490384615385,46.1442307692308,127,104,null,null,null,null,0.237137184306617,198.490384615385,46.1442307692308,127,104,
70,0.23653517016133,199.27358490566,46.1698113207547,129,106,null,null,null,null,0.23653517016133,199.27358490566,46.1698113207547,129,106,
71,0.236697820348521,198.836363636364,46.1181818181818,135,110,null,null,null,null,0.236697820348521,198.836363636364,46.1181818181818,135,110,
72,0.237568800225778,197.973214285714,46.1517857142857,142,112,null,null,null,null,0.237568800225778,197.973214285714,46.1517857142857,142,112,
73,0.237544409491418,197.614035087719,46.0789473684211,148,114,null,null,null,null,0.237544409491418,197.614035087719,46.0789473684211,148,114,
74,0.237573801007001,197.129310344828,46,151,116,null,null,null,null,0.237573801007001,197.129310344828,46,151,116,
75,0.237161023156385,196.786324786325,45.8547008547009,155,117,null,null,null,null,0.237161023156385,196.786324786325,45.8547008547009,155,117,
76,0.235203820117945,199.152542372881,45.8898305084746,159,118,null,null,null,null,0.235203820117945,199.152542372881,45.8898305084746,159,118,
77,0.235815252577872,198.276422764228,45.8292682926829,165,123,null,null,null,null,0.235815252577872,198.276422764228,45.8292682926829,165,123,
78,0.236688690701641,197.496124031008,45.8527131782946,175,129,null,null,null,null,0.236688690701641,197.496124031008,45.8527131782946,175,129,
79,0.236319801392013,198.795454545455,46.0151515151515,179,132,null,null,null,null,0.236319801392013,198.795454545455,46.0151515151515,179,132,
80,0.236135537994904,199.03007518797,46.0300751879699,181,133,null,null,null,null,0.236135537994904,199.03007518797,46.0300751879699,181,133,
81,0.236741611484452,197.925925925926,45.9481481481481,182,135,null,null,null,null,0.236741611484452,197.925925925926,45.9481481481481,182,135,
82,0.237729978885658,196.934782608696,45.963768115942,186,138,null,null,null,null,0.237729978885658,196.934782608696,45.963768115942,186,138,
83,0.237638826802949,196.570422535211,45.887323943662,189,142,null,null,null,null,0.237638826802949,196.570422535211,45.887323943662,189,142,
84,0.239737539300215,194.637583892617,45.9530201342282,199,149,null,null,null,null,0.239737539300215,194.637583892617,45.9530201342282,199,149,
85,0.236771284127909,197.801242236025,45.9192546583851,211,161,null,null,null,null,0.236771284127909,197.801242236025,45.9192546583851,211,161,
86,0.23596995279746,198.654545454545,45.9090909090909,215,165,null,null,null,null,0.23596995279746,198.654545454545,45.9090909090909,215,165,
87,0.234969754646016,198.363095238095,45.6726190476191,217,168,null,null,null,null,0.234969754646016,198.363095238095,45.6726190476191,217,168,
88,0.234921136408768,198.441860465116,45.656976744186,222,172,null,null,null,null,0.234921136408768,198.441860465116,45.656976744186,222,172,
89,0.234485279687269,199.289772727273,45.7272727272727,228,176,null,null,null,null,0.234485279687269,199.289772727273,45.7272727272727,228,176,
90,0.234825074374237,199.401098901099,45.8131868131868,235,182,null,null,null,null,0.234825074374237,199.401098901099,45.8131868131868,235,182,
91,0.235562114691658,199.47311827957,45.9462365591398,243,186,null,null,null,null,0.235562114691658,199.47311827957,45.9462365591398,243,186,
92,0.235588251665956,199.269841269841,45.9259259259259,248,189,null,null,null,null,0.235588251665956,199.269841269841,45.9259259259259,248,189,
93,0.234568485371634,198.942105263158,45.678947368421,251,190,null,null,null,null,0.234568485371634,198.942105263158,45.678947368421,251,190,
94,0.233441112138612,200.959595959596,45.8131313131313,264,198,null,null,null,null,0.233441112138612,200.959595959596,45.8131313131313,264,198,
95,0.232248388997328,202.087179487179,45.7794871794872,267,195,null,null,null,null,0.232248388997328,202.087179487179,45.7794871794872,267,195,
96,0.231364060797773,202.05527638191,45.608040201005,278,199,null,null,null,null,0.231364060797773,202.05527638191,45.608040201005,278,199,
97,0.231727919953655,201.700980392157,45.5980392156863,287,204,null,null,null,null,0.231727919953655,201.700980392157,45.5980392156863,287,204,
98,0.231470583828364,202.246575342466,45.6529680365297,298,219,null,null,null,null,0.231470583828364,202.246575342466,45.6529680365297,298,219,
99,0.231868732798511,202.12037037037,45.7083333333333,297,216,null,null,null,null,0.231868732798511,202.12037037037,45.7083333333333,297,216,
100,0.232154447079128,201.14479638009,45.5927601809955,302,221,null,null,null,null,0.232154447079128,201.14479638009,45.5927601809955,302,221,
101,0.232097843746939,200.786363636364,45.5181818181818,304,220,null,null,null,null,0.232097843746939,200.786363636364,45.5181818181818,304,220,
102,0.232509405757361,200.593073593074,45.5627705627706,314,231,null,null,null,null,0.232509405757361,200.593073593074,45.5627705627706,314,231,
103,0.232061866676873,200.919831223629,45.5316455696203,322,237,null,null,null,null,0.232061866676873,200.919831223629,45.5316455696203,322,237,
104,0.232014399234595,201.740740740741,45.6543209876543,332,243,null,null,null,null,0.232014399234595,201.740740740741,45.6543209876543,332,243,
105,0.23262416889458,200.96694214876,45.6239669421488,337,242,null,null,null,null,0.23262416889458,200.96694214876,45.6239669421488,337,242,
106,0.233358001549234,200.353658536585,45.6626016260163,343,246,null,null,null,null,0.233358001549234,200.353658536585,45.6626016260163,343,246,
107,0.232633687112928,200.744,45.6,342,250,null,null,null,null,0.232633687112928,200.744,45.6,342,250,
108,0.232398103891018,200.973282442748,45.5839694656489,353,262,null,null,null,null,0.232398103891018,200.973282442748,45.5839694656489,353,262,
109,0.231902074223596,201,45.4905660377358,358,265,null,null,null,null,0.231902074223596,201,45.4905660377358,358,265,
110,0.232845557674127,200.408088235294,45.5698529411765,368,272,null,null,null,null,0.232845557674127,200.408088235294,45.5698529411765,368,272,
111,0.233355078205487,199.379928315412,45.4910394265233,375,279,null,null,null,null,0.233355078205487,199.379928315412,45.4910394265233,375,279,
112,0.232628949836561,200.090909090909,45.472027972028,386,286,null,null,null,null,0.232628949836561,200.090909090909,45.472027972028,386,286,
113,0.232253603600636,200.40614334471,45.4470989761092,395,293,null,null,null,null,0.232253603600636,200.40614334471,45.4470989761092,395,293,
114,0.232274732607581,200.942567567568,45.5371621621622,402,296,null,null,null,null,0.232274732607581,200.942567567568,45.5371621621622,402,296,
115,0.232016554947643,201.328903654485,45.5714285714286,407,301,null,null,null,null,0.232016554947643,201.328903654485,45.5714285714286,407,301,
116,0.230565719268557,203.241830065359,45.6143790849673,418,306,null,null,null,null,0.230565719268557,203.241830065359,45.6143790849673,418,306,
117,0.23058887662103,203.445512820513,45.6602564102564,427,312,null,null,null,null,0.23058887662103,203.445512820513,45.6602564102564,427,312,
118,0.230916393335097,202.35625,45.53125,434,320,null,null,null,null,0.230916393335097,202.35625,45.53125,434,320,
119,0.23202551589447,201.030211480363,45.5226586102719,443,331,null,null,null,null,0.23202551589447,201.030211480363,45.5226586102719,443,331,
120,0.232531501930335,200.726470588235,45.5705882352941,452,340,null,null,null,null,0.232531501930335,200.726470588235,45.5705882352941,452,340,
121,0.232685181694937,200.977011494253,45.6436781609195,459,348,null,null,null,null,0.232685181694937,200.977011494253,45.6436781609195,459,348,
122,0.233011147989776,201.122507122507,45.7378917378917,469,351,null,null,null,null,0.233011147989776,201.122507122507,45.7378917378917,469,351,
123,0.234462451625373,200.139726027397,45.8465753424658,483,365,null,null,null,null,0.234462451625373,200.139726027397,45.8465753424658,483,365,
124,0.234116706799903,200.198369565217,45.7880434782609,490,368,null,null,null,null,0.234116706799903,200.198369565217,45.7880434782609,490,368,
125,0.234968922514844,199.33681462141,45.8041775456919,503,383,null,null,null,null,0.234968922514844,199.33681462141,45.8041775456919,503,383,
126,0.234397382720619,199.576826196474,45.7304785894207,513,397,null,null,null,null,0.234397382720619,199.576826196474,45.7304785894207,513,397,
127,0.23353762911651,199.716417910448,45.5820895522388,518,402,null,null,null,null,0.23353762911651,199.716417910448,45.5820895522388,518,402,
128,0.234053300632244,199.558536585366,45.6560975609756,527,410,null,null,null,null,0.234053300632244,199.558536585366,45.6560975609756,527,410,
129,0.234863221178115,198.557416267943,45.6363636363636,538,418,null,null,null,null,0.234863221178115,198.557416267943,45.6363636363636,538,418,
130,0.235224761011345,198.405727923628,45.6706443914081,545,419,null,null,null,null,0.235224761011345,198.405727923628,45.6706443914081,545,419,
131,0.234864770230096,198.854117647059,45.6776470588235,558,425,null,null,null,null,0.234864770230096,198.854117647059,45.6776470588235,558,425,
